Marca	Modelo	Ano	Motor
Daewoo	Racer	1990	1.5L / 1.6L
Daewoo	Racer	1991	1.5L / 1.6L
Daewoo	Racer	1992	1.5L / 1.6L
Daewoo	Racer	1993	1.5L / 1.6L
Daewoo	Racer	1994	1.5L / 1.6L
Daewoo	Racer	1995	1.5L / 1.6L
Daewoo	Racer	1996	1.5L / 1.6L
Daewoo	Racer	1997	1.5L / 1.6L
Daewoo	Racer	1998	1.5L / 1.6L
Daewoo	Racer	1999	1.5L / 1.6L
Daewoo	Racer	2000	1.5L / 1.6L
Audi	A3	2014	1.4T/2.0T EA211/EA888
Audi	A3	2015	1.4T/2.0T EA211/EA888
Audi	A3	2016	1.4T/2.0T EA211/EA888
Audi	A3	2017	1.4T/2.0T EA211/EA888
Audi	A3	2018	1.4T/2.0T EA211/EA888
Audi	A3	2019	1.4T/2.0T EA211/EA888
Audi	A3	2020	1.4T/2.0T EA211/EA888
Audi	A3	2021	1.4T/2.0T EA211/EA888
Audi	A3	2022	1.4T/2.0T EA211/EA888
Audi	A3	2023	1.4T/2.0T EA211/EA888
Audi	A3	2024	1.4T/2.0T EA211/EA888
Audi	A3	2025	1.4T/2.0T EA211/EA888
Audi	A3	2026	1.4T/2.0T EA211/EA888
Audi	A4	2016	2.0T EA888
Audi	A4	2017	2.0T EA888
Audi	A4	2018	2.0T EA888
Audi	A4	2019	2.0T EA888
Audi	A4	2020	2.0T EA888
Audi	A4	2021	2.0T EA888
Audi	A4	2022	2.0T EA888
Audi	A4	2023	2.0T EA888
Audi	A4	2024	2.0T EA888
Audi	A4	2025	2.0T EA888
Audi	A4	2026	2.0T EA888
Audi	Q3	2015	1.4T/2.0T EA211/EA888
Audi	Q3	2016	1.4T/2.0T EA211/EA888
Audi	Q3	2017	1.4T/2.0T EA211/EA888
Audi	Q3	2018	1.4T/2.0T EA211/EA888
Audi	Q3	2019	1.4T/2.0T EA211/EA888
Audi	Q3	2020	1.4T/2.0T EA211/EA888
Audi	Q3	2021	1.4T/2.0T EA211/EA888
Audi	Q3	2022	1.4T/2.0T EA211/EA888
Audi	Q3	2023	1.4T/2.0T EA211/EA888
Audi	Q3	2024	1.4T/2.0T EA211/EA888
Audi	Q3	2025	1.4T/2.0T EA211/EA888
Audi	Q3	2026	1.4T/2.0T EA211/EA888
Audi	Q5	2017	2.0T EA888
Audi	Q5	2018	2.0T EA888
Audi	Q5	2019	2.0T EA888
Audi	Q5	2020	2.0T EA888
Audi	Q5	2021	2.0T EA888
Audi	Q5	2022	2.0T EA888
Audi	Q5	2023	2.0T EA888
Audi	Q5	2024	2.0T EA888
Audi	Q5	2025	2.0T EA888
Audi	Q5	2026	2.0T EA888
BAIC	X55	2020	1.5T A151T
BAIC	X55	2021	1.5T A151T
BAIC	X55	2022	1.5T A151T
BAIC	X55	2023	1.5T A151T
BAIC	X55	2024	1.5T A151T
BAIC	X55	2025	1.5T A151T
BAIC	X55	2026	1.5T A151T
BMW	Serie 1	2015	1.5T B38 / 2.0T B48
BMW	Serie 1	2016	1.5T B38 / 2.0T B48
BMW	Serie 1	2017	1.5T B38 / 2.0T B48
BMW	Serie 1	2018	1.5T B38 / 2.0T B48
BMW	Serie 1	2019	1.5T B38 / 2.0T B48
BMW	Serie 1	2020	1.5T B38 / 2.0T B48
BMW	Serie 1	2021	1.5T B38 / 2.0T B48
BMW	Serie 1	2022	1.5T B38 / 2.0T B48
BMW	Serie 1	2023	1.5T B38 / 2.0T B48
BMW	Serie 1	2024	1.5T B38 / 2.0T B48
BMW	Serie 1	2025	1.5T B38 / 2.0T B48
BMW	Serie 1	2026	1.5T B38 / 2.0T B48
BMW	Serie 3	2015	2.0T B48
BMW	Serie 3	2016	2.0T B48
BMW	Serie 3	2017	2.0T B48
BMW	Serie 3	2018	2.0T B48
BMW	Serie 3	2019	2.0T B48
BMW	Serie 3	2020	2.0T B48
BMW	Serie 3	2021	2.0T B48
BMW	Serie 3	2022	2.0T B48
BMW	Serie 3	2023	2.0T B48
BMW	Serie 3	2024	2.0T B48
BMW	Serie 3	2025	2.0T B48
BMW	Serie 3	2026	2.0T B48
BMW	X1	2016	1.5T B38 / 2.0T B48
BMW	X1	2017	1.5T B38 / 2.0T B48
BMW	X1	2018	1.5T B38 / 2.0T B48
BMW	X1	2019	1.5T B38 / 2.0T B48
BMW	X1	2020	1.5T B38 / 2.0T B48
BMW	X1	2021	1.5T B38 / 2.0T B48
BMW	X1	2022	1.5T B38 / 2.0T B48
BMW	X1	2023	1.5T B38 / 2.0T B48
BMW	X1	2024	1.5T B38 / 2.0T B48
BMW	X1	2025	1.5T B38 / 2.0T B48
BMW	X1	2026	1.5T B38 / 2.0T B48
BMW	X3	2017	2.0T B48 / 3.0T B58
BMW	X3	2018	2.0T B48 / 3.0T B58
BMW	X3	2019	2.0T B48 / 3.0T B58
BMW	X3	2020	2.0T B48 / 3.0T B58
BMW	X3	2021	2.0T B48 / 3.0T B58
BMW	X3	2022	2.0T B48 / 3.0T B58
BMW	X3	2023	2.0T B48 / 3.0T B58
BMW	X3	2024	2.0T B48 / 3.0T B58
BMW	X3	2025	2.0T B48 / 3.0T B58
BMW	X3	2026	2.0T B48 / 3.0T B58
BMW	X5	2019	3.0T B58
BMW	X5	2020	3.0T B58
BMW	X5	2021	3.0T B58
BMW	X5	2022	3.0T B58
BMW	X5	2023	3.0T B58
BMW	X5	2024	3.0T B58
BMW	X5	2025	3.0T B58
BMW	X5	2026	3.0T B58
Changan	Alsvin	2020	1.5L
Changan	Alsvin	2021	1.5L
Changan	Alsvin	2022	1.5L
Changan	Alsvin	2023	1.5L
Changan	Alsvin	2024	1.5L
Changan	Alsvin	2025	1.5L
Changan	Alsvin	2026	1.5L
Changan	CS15	2017	1.5L JL473QF
Changan	CS15	2018	1.5L JL473QF
Changan	CS15	2019	1.5L JL473QF
Changan	CS15	2020	1.5L JL473QF
Changan	CS15	2021	1.5L JL473QF
Changan	CS15	2022	1.5L JL473QF
Changan	CS15	2023	1.5L JL473QF
Changan	CS15	2024	1.5L JL473QF
Changan	CS15	2025	1.5L JL473QF
Changan	CS15	2026	1.5L JL473QF
Changan	CS35	2016	1.6L H16 / 1.4T H14T
Changan	CS35	2017	1.6L H16 / 1.4T H14T
Changan	CS35	2018	1.6L H16 / 1.4T H14T
Changan	CS35	2019	1.6L H16 / 1.4T H14T
Changan	CS35	2020	1.6L H16 / 1.4T H14T
Changan	CS35	2021	1.6L H16 / 1.4T H14T
Changan	CS35	2022	1.6L H16 / 1.4T H14T
Changan	CS35	2023	1.6L H16 / 1.4T H14T
Changan	CS35	2024	1.6L H16 / 1.4T H14T
Changan	CS35	2025	1.6L H16 / 1.4T H14T
Changan	CS35	2026	1.6L H16 / 1.4T H14T
Changan	CS55 Plus	2019	1.5T BlueCore
Changan	CS55 Plus	2020	1.5T BlueCore
Changan	CS55 Plus	2021	1.5T BlueCore
Changan	CS55 Plus	2022	1.5T BlueCore
Changan	CS55 Plus	2023	1.5T BlueCore
Changan	CS55 Plus	2024	1.5T BlueCore
Changan	CS55 Plus	2025	1.5T BlueCore
Changan	CS55 Plus	2026	1.5T BlueCore
Changan	CX70	2018	1.6L / 1.5T H15T
Changan	CX70	2019	1.6L / 1.5T H15T
Changan	CX70	2020	1.6L / 1.5T H15T
Changan	CX70	2021	1.6L / 1.5T H15T
Changan	CX70	2022	1.6L / 1.5T H15T
Changan	CX70	2023	1.6L / 1.5T H15T
Changan	CX70	2024	1.6L / 1.5T H15T
Changan	CX70	2025	1.6L / 1.5T H15T
Changan	CX70	2026	1.6L / 1.5T H15T
Changan	Hunter	2022	1.9D
Changan	Hunter	2023	1.9D
Changan	Hunter	2024	1.9D
Changan	Hunter	2025	1.9D
Changan	Hunter	2026	1.9D
Changan	UNI-T	2021	1.5T BlueCore
Changan	UNI-T	2022	1.5T BlueCore
Changan	UNI-T	2023	1.5T BlueCore
Changan	UNI-T	2024	1.5T BlueCore
Changan	UNI-T	2025	1.5T BlueCore
Changan	UNI-T	2026	1.5T BlueCore
Chery	Arrizo 3	2018	1.5L SQR
Chery	Arrizo 3	2019	1.5L SQR
Chery	Arrizo 3	2020	1.5L SQR
Chery	Arrizo 3	2021	1.5L SQR
Chery	Arrizo 3	2022	1.5L SQR
Chery	Arrizo 3	2023	1.5L SQR
Chery	Arrizo 3	2024	1.5L SQR
Chery	Arrizo 3	2025	1.5L SQR
Chery	Arrizo 3	2026	1.5L SQR
Chery	Arrizo 5	2019	1.5T
Chery	Arrizo 5	2020	1.5T
Chery	Arrizo 5	2021	1.5T
Chery	Arrizo 5	2022	1.5T
Chery	Arrizo 5	2023	1.5T
Chery	Arrizo 5	2024	1.5T
Chery	Arrizo 5	2025	1.5T
Chery	Arrizo 5	2026	1.5T
Chery	IQ	2008	1.0L/1.1L SQR372
Chery	IQ	2009	1.0L/1.1L SQR372
Chery	IQ	2010	1.0L/1.1L SQR372
Chery	IQ	2011	1.0L/1.1L SQR372
Chery	IQ	2012	1.0L/1.1L SQR372
Chery	IQ	2013	1.0L/1.1L SQR372
Chery	IQ	2014	1.0L/1.1L SQR372
Chery	IQ	2015	1.0L/1.1L SQR372
Chery	IQ	2016	1.0L/1.1L SQR372
Chery	IQ	2017	1.0L/1.1L SQR372
Chery	IQ	2018	1.0L/1.1L SQR372
Chery	Tiggo 2	2017	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2018	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2019	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2020	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2021	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2022	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2023	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2024	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2025	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 2	2026	1.5L SQR477F / 1.0T SQRE4T10
Chery	Tiggo 3	2015	1.6L SQRE4G16
Chery	Tiggo 3	2016	1.6L SQRE4G16
Chery	Tiggo 3	2017	1.6L SQRE4G16
Chery	Tiggo 3	2018	1.6L SQRE4G16
Chery	Tiggo 3	2019	1.6L SQRE4G16
Chery	Tiggo 3	2020	1.6L SQRE4G16
Chery	Tiggo 3	2021	1.6L SQRE4G16
Chery	Tiggo 3	2022	1.6L SQRE4G16
Chery	Tiggo 4	2019	1.5L/1.5T SQR
Chery	Tiggo 4	2020	1.5L/1.5T SQR
Chery	Tiggo 4	2021	1.5L/1.5T SQR
Chery	Tiggo 4	2022	1.5L/1.5T SQR
