Marca	Modelo	Ano	Motor	VIN
BMW	Serie 1	2024	1.5T B38 / 2.0T B48	5UX3A3WF6RC031125
BMW	Serie 1	2025	1.5T B38 / 2.0T B48	WBYP1SXY0SJ619261
BMW	Serie 1	2026	1.5T B38 / 2.0T B48	5UXWEZGR1TS633148
BMW	Serie 3	2015	2.0T B48	5UXBJS7F5FD030770
BMW	Serie 3	2016	2.0T B48	WBS43DD03GP310213
BMW	Serie 3	2017	2.0T B48	WBAWBEZA0H0383606
BMW	Serie 3	2018	2.0T B48	WBSH9AL00JN092606
BMW	Serie 3	2019	2.0T B48	WBA4VL4U9K1231152
BMW	Serie 3	2020	2.0T B48	WBY731924LA325313
BMW	Serie 3	2021	2.0T B48	WBYRNZGL0MC362328
BMW	Serie 3	2022	2.0T B48	5UXDN52U5N8732678
BMW	Serie 3	2023	2.0T B48	5UX3XHLE6P6644509
BMW	Serie 3	2024	2.0T B48	WBSY9KFM4RK264511
BMW	Serie 3	2025	2.0T B48	5UXL756L3SS393991
BMW	Serie 3	2026	2.0T B48	WBYXAD844T2151313
BMW	X1	2016	1.5T B38 / 2.0T B48	WBYNSJT61GT592618
BMW	X1	2017	1.5T B38 / 2.0T B48	WBSZ30YB6HR014649
BMW	X1	2018	1.5T B38 / 2.0T B48	5UXWX15C3J3395854
BMW	X1	2019	1.5T B38 / 2.0T B48	5UXYKFW85KM329414
BMW	X1	2020	1.5T B38 / 2.0T B48	WBAWXS1U4LP548854
BMW	X1	2021	1.5T B38 / 2.0T B48	5UXSAU6G8MF592394
BMW	X1	2022	1.5T B38 / 2.0T B48	WBYHXAN35NH055185
BMW	X1	2023	1.5T B38 / 2.0T B48	WBY22BP13PJ038189
BMW	X1	2024	1.5T B38 / 2.0T B48	WBSNX4E18R1781893
BMW	X1	2025	1.5T B38 / 2.0T B48	5UXEBB6P3S3123775
BMW	X1	2026	1.5T B38 / 2.0T B48	WBAX9LA26TY486872
BMW	X3	2017	2.0T B48 / 3.0T B58	5UX4HJ6R0H2598966
BMW	X3	2018	2.0T B48 / 3.0T B58	5UXYKXFR3JN792451
BMW	X3	2019	2.0T B48 / 3.0T B58	5UXTRJF70KH964632
BMW	X3	2020	2.0T B48 / 3.0T B58	WBY09C6S0L7363442
BMW	X3	2021	2.0T B48 / 3.0T B58	WBAWDU5K4M8990882
BMW	X3	2022	2.0T B48 / 3.0T B58	WBACXVUG3NH119695
BMW	X3	2023	2.0T B48 / 3.0T B58	WBAKVTEK1PD524845
BMW	X3	2024	2.0T B48 / 3.0T B58	WBYFTEFX9RM805244
BMW	X3	2025	2.0T B48 / 3.0T B58	WBSM43P92ST163240
BMW	X3	2026	2.0T B48 / 3.0T B58	WBS3BKN24TT902613
BMW	X5	2019	3.0T B58	WBYWFJ3K9K7420098
BMW	X5	2020	3.0T B58	WBSY1S076L3492084
BMW	X5	2021	3.0T B58	WBYN64BZ8M8391136
BMW	X5	2022	3.0T B58	5UXDUVC67NH662085
BMW	X5	2023	3.0T B58	WBAJADKP3PV486686
BMW	X5	2024	3.0T B58	WBA9FSM84RE534648
BMW	X5	2025	3.0T B58	WBAG6J9WXSS780894
BMW	X5	2026	3.0T B58	WBS6BYB17TN676437
Changan	Alsvin	2020	1.5L	LS4H9DGH4LN223694
Changan	Alsvin	2021	1.5L	LS4D9WMA1MT702279
Changan	Alsvin	2022	1.5L	LS42VT5S0NN073922
Changan	Alsvin	2023	1.5L	LS4AYYJL6PL863898
Changan	Alsvin	2024	1.5L	LS41S1CC2RT159030
Changan	Alsvin	2025	1.5L	LS4PDD0TXSW804747
Changan	Alsvin	2026	1.5L	LS40K4XVXTF251923
Changan	CS15	2017	1.5L JL473QF	LS470Z8X8HE169431
Changan	CS15	2018	1.5L JL473QF	LS4WPZZR4JA331513
Changan	CS15	2019	1.5L JL473QF	LS4ZC8060KD813191
Changan	CS15	2020	1.5L JL473QF	LS4UDF095LD680886
Changan	CS15	2021	1.5L JL473QF	LS44DMXL2MU141309
Changan	CS15	2022	1.5L JL473QF	LS43RZB32NK539280
Changan	CS15	2023	1.5L JL473QF	LS42NGKV7PN955081
Changan	CS15	2024	1.5L JL473QF	LS4CVNVPXRM018045
Changan	CS15	2025	1.5L JL473QF	LS4P6GFM4SY911907
Changan	CS15	2026	1.5L JL473QF	LS4SGEVG7TT987854
Changan	CS35	2016	1.6L H16 / 1.4T H14T	LS49RAAT3GW586438
Changan	CS35	2017	1.6L H16 / 1.4T H14T	LS45STJH0HH206911
Changan	CS35	2018	1.6L H16 / 1.4T H14T	LS4W97JZ4JW110023
Changan	CS35	2019	1.6L H16 / 1.4T H14T	LS4JPXUXXKM103004
Changan	CS35	2020	1.6L H16 / 1.4T H14T	LS4JUZTK0LL046409
Changan	CS35	2021	1.6L H16 / 1.4T H14T	LS4M8KNK6MX295913
Changan	CS35	2022	1.6L H16 / 1.4T H14T	LS40ZJAA8ND052089
Changan	CS35	2023	1.6L H16 / 1.4T H14T	LS4MRTSE3PT461284
Changan	CS35	2024	1.6L H16 / 1.4T H14T	LS4XAN9V3RA474783
Changan	CS35	2025	1.6L H16 / 1.4T H14T	LS4ZRF2B0SL131673
Changan	CS35	2026	1.6L H16 / 1.4T H14T	LS4FBWNMXTE045409
Changan	CS55 Plus	2019	1.5T BlueCore	LS4E57BY2KT135938
Changan	CS55 Plus	2020	1.5T BlueCore	LS45WEZ67LS224157
Changan	CS55 Plus	2021	1.5T BlueCore	LS45BA979MX922951
Changan	CS55 Plus	2022	1.5T BlueCore	LS4033BL1NW221032
Changan	CS55 Plus	2023	1.5T BlueCore	LS4UNZ6H1PR487561
Changan	CS55 Plus	2024	1.5T BlueCore	LS4VHYGZ4RC618050
Changan	CS55 Plus	2025	1.5T BlueCore	LS4TKK7D3SB776868
Changan	CS55 Plus	2026	1.5T BlueCore	LS4WMA394TT315967
Changan	CX70	2018	1.6L / 1.5T H15T	LS4V017Y7JP675779
Changan	CX70	2019	1.6L / 1.5T H15T	LS4FG4TU0KF795502
Changan	CX70	2020	1.6L / 1.5T H15T	LS4L6VAU8LW974063
Changan	CX70	2021	1.6L / 1.5T H15T	LS4UT7VC8MD247027
Changan	CX70	2022	1.6L / 1.5T H15T	LS4GWYYF0NS744988
Changan	CX70	2023	1.6L / 1.5T H15T	LS449HCW9PN335486
Changan	CX70	2024	1.6L / 1.5T H15T	LS4TV7MF7RC832356
Changan	CX70	2025	1.6L / 1.5T H15T	LS4XKH9U2SH202177
Changan	CX70	2026	1.6L / 1.5T H15T	LS4LV8KX7TK537224
Changan	Hunter	2022	1.9D	LS4C2B158NT661876
Changan	Hunter	2023	1.9D	LS4U3KHS6PM108394
Changan	Hunter	2024	1.9D	LS4GCT4CXRT645764
Changan	Hunter	2025	1.9D	LS43TV2UXSS738317
Changan	Hunter	2026	1.9D	LS4B1B7P1TL939022
Changan	UNI-T	2021	1.5T BlueCore	LS4JN0G91MV243515
Changan	UNI-T	2022	1.5T BlueCore	LS4UPG7N7NJ626462
Changan	UNI-T	2023	1.5T BlueCore	LS40Z47Z1PP105893
Changan	UNI-T	2024	1.5T BlueCore	LS4XBZBW6RM121931
Changan	UNI-T	2025	1.5T BlueCore	LS41PWHD8ST372425
Changan	UNI-T	2026	1.5T BlueCore	LS4R2UUG9TP801250
Chery	Arrizo 3	2018	1.5L SQR	LVV7BDXZ2JF848860
Chery	Arrizo 3	2019	1.5L SQR	LVVDPTVW6KK633868
Chery	Arrizo 3	2020	1.5L SQR	LVVJW2YB9LR100821
Chery	Arrizo 3	2021	1.5L SQR	LVVGBK0J5ME313105
Chery	Arrizo 3	2022	1.5L SQR	LVV44AS84NM300483
Chery	Arrizo 3	2023	1.5L SQR	LVV8XCVW3PD981852
Chery	Arrizo 3	2024	1.5L SQR	LVVKTDSE4RY685799
Chery	Arrizo 3	2025	1.5L SQR	LVVN3D871SJ318203
Chery	Arrizo 3	2026	1.5L SQR	LVVMU4S23TW790820
Chery	Arrizo 5	2019	1.5T	LVVFZM7V9KF431144
Chery	Arrizo 5	2020	1.5T	LVVP14R25LM658214
Chery	Arrizo 5	2021	1.5T	LVVPM3GY1MF713241
Chery	Arrizo 5	2022	1.5T	LVVD2M5Y6NB531240
Chery	Arrizo 5	2023	1.5T	LVV7E6N03PH929435
Chery	Arrizo 5	2024	1.5T	LVV415H25RL761402
Chery	Arrizo 5	2025	1.5T	LVVXHDD19SU589620
Chery	Arrizo 5	2026	1.5T	LVVUSMGF3TB668967
Chery	IQ	2008	1.0L/1.1L SQR372	LVVZDKNY28F515425
Chery	IQ	2009	1.0L/1.1L SQR372	LVV24WTZ39T755879
Chery	IQ	2010	1.0L/1.1L SQR372	LVVYV9UW3AR902457
Chery	IQ	2011	1.0L/1.1L SQR372	LVV37PBK7BA088936
Chery	IQ	2012	1.0L/1.1L SQR372	LVV0V4BT0CU376474
Chery	IQ	2013	1.0L/1.1L SQR372	LVVN64SH0DU855252
Chery	IQ	2014	1.0L/1.1L SQR372	LVVVYYBM8ES151764
Chery	IQ	2015	1.0L/1.1L SQR372	LVVM9LHC0FB126840
Chery	IQ	2016	1.0L/1.1L SQR372	LVVZJ19F9GH288894
Chery	IQ	2017	1.0L/1.1L SQR372	LVVD5NPF4HC084771
Chery	IQ	2018	1.0L/1.1L SQR372	LVV4ZF1E0JK926186
Chery	Tiggo 2	2017	1.5L SQR477F / 1.0T SQRE4T10	LVVU7ZT86HX050042
Chery	Tiggo 2	2018	1.5L SQR477F / 1.0T SQRE4T10	LVV4UFLX2JN652470
Chery	Tiggo 2	2019	1.5L SQR477F / 1.0T SQRE4T10	LVVSH0E22KF443641
Chery	Tiggo 2	2020	1.5L SQR477F / 1.0T SQRE4T10	LVVGAKL53LA301199
Chery	Tiggo 2	2021	1.5L SQR477F / 1.0T SQRE4T10	LVVXWMN28MF726065
Chery	Tiggo 2	2022	1.5L SQR477F / 1.0T SQRE4T10	LVV1FYG71NY086406
Chery	Tiggo 2	2023	1.5L SQR477F / 1.0T SQRE4T10	LVV9Z1WT3PA112385
Chery	Tiggo 2	2024	1.5L SQR477F / 1.0T SQRE4T10	LVV0NL8S2RA323049
Chery	Tiggo 2	2025	1.5L SQR477F / 1.0T SQRE4T10	LVVUC40GXSE286268
Chery	Tiggo 2	2026	1.5L SQR477F / 1.0T SQRE4T10	LVV0SKWD7TN697499
Chery	Tiggo 3	2015	1.6L SQRE4G16	LVVLNDA05FL562316
Chery	Tiggo 3	2016	1.6L SQRE4G16	LVVWS01G2GL903944
Chery	Tiggo 3	2017	1.6L SQRE4G16	LVVTESELXHZ989483
Chery	Tiggo 3	2018	1.6L SQRE4G16	LVV8BF3R6JX683198
Chery	Tiggo 3	2019	1.6L SQRE4G16	LVVMX9R50KZ271600
Chery	Tiggo 3	2020	1.6L SQRE4G16	LVV2GPAC8LM801008
Chery	Tiggo 3	2021	1.6L SQRE4G16	LVVUUPZK2MR493836
Chery	Tiggo 3	2022	1.6L SQRE4G16	LVVUDY8C1NY526929
Chery	Tiggo 4	2019	1.5L/1.5T SQR	LVVUPSVD1KN704742
Chery	Tiggo 4	2020	1.5L/1.5T SQR	LVVB2YS83LW868120
Chery	Tiggo 4	2021	1.5L/1.5T SQR	LVVBAT824MJ406298
Chery	Tiggo 4	2022	1.5L/1.5T SQR	LVVLPRUJ5ND019844
Chery	Tiggo 4	2023	1.5L/1.5T SQR	LVVHZL7T9PK090781
Chery	Tiggo 4	2024	1.5L/1.5T SQR	LVVZGD1R3RW488349
Chery	Tiggo 4	2025	1.5L/1.5T SQR	LVVFEBH5XSE379821
Chery	Tiggo 4	2026	1.5L/1.5T SQR	LVV68SJF9TW780640
Chery	Tiggo 7 Pro	2020	1.5T SQRF4J16	LVVS3068XLF767147
Chery	Tiggo 7 Pro	2021	1.5T SQRF4J16	LVVXV1136MA087729
Chery	Tiggo 7 Pro	2022	1.5T SQRF4J16	LVVU94J04NP852515
Chery	Tiggo 7 Pro	2023	1.5T SQRF4J16	LVVVH8X76PC388043
Chery	Tiggo 7 Pro	2024	1.5T SQRF4J16	LVV5UYTH5RY503487
Chery	Tiggo 7 Pro	2025	1.5T SQRF4J16	LVVW6V9X1SH833726
Chery	Tiggo 7 Pro	2026	1.5T SQRF4J16	LVVND1FLXTF913101
Chery	Tiggo 8	2019	1.5T SQRF4J16 / 2.0T F4J20	LVVXYVEA4KK436952
Chery	Tiggo 8	2020	1.5T SQRF4J16 / 2.0T F4J20	LVVAT7MJ3LT299273
Chery	Tiggo 8	2021	1.5T SQRF4J16 / 2.0T F4J20	LVV8MPKW9MM018390
Chery	Tiggo 8	2022	1.5T SQRF4J16 / 2.0T F4J20	LVVP45ES7NZ434578
Chery	Tiggo 8	2023	1.5T SQRF4J16 / 2.0T F4J20	LVVKAWKP8PJ049105
Chery	Tiggo 8	2024	1.5T SQRF4J16 / 2.0T F4J20	LVVVXPDR5RK480319
Chery	Tiggo 8	2025	1.5T SQRF4J16 / 2.0T F4J20	LVVZDHJGXSR743758
Chery	Tiggo 8	2026	1.5T SQRF4J16 / 2.0T F4J20	LVVAEX4N6TN942183
Chevrolet	Captiva	2010	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	KL1GLWNE2A9603016
Chevrolet	Captiva	2011	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	1G1M96LX7BC116910
Chevrolet	Captiva	2012	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	2G1AN86Y5C6401310
Chevrolet	Captiva	2013	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	3G1LJZYX0DU806447
Chevrolet	Captiva	2014	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	LSG5TNFV0EC050419
Chevrolet	Captiva	2015	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	2G1GFCB64FS589179
Chevrolet	Captiva	2016	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	MAJ0LZZC7G4271025
Chevrolet	Captiva	2017	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	KL14BAKT6HH808589
Chevrolet	Captiva	2018	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	KL1A0DVB7J1827678
Chevrolet	Captiva	2019	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	LSGV6NL8XKE508442
Chevrolet	Captiva	2020	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	1GC5WUG82LD813778
Chevrolet	Captiva	2021	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	KL1XLT7J5MC861532
Chevrolet	Captiva	2022	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	2G1GEY3A7NU676466
Chevrolet	Captiva	2023	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	1GCWVFBG1PE394713
Chevrolet	Captiva	2024	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	MAJ9Z9F62RA128072
Chevrolet	Captiva	2025	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	LSGJG20D1SZ262336
Chevrolet	Captiva	2026	2.4L LE5 / 2.2D Z22D1 / 1.5T L3T	MAJY73UB5TB983655
Chevrolet	Cavalier	2018	1.5L L2B SAIC	3G1A1E931JK120243
Chevrolet	Cavalier	2019	1.5L L2B SAIC	1G1MH4AL7KP347371
Chevrolet	Cavalier	2020	1.5L L2B SAIC	3G15P70J2L5645420
Chevrolet	Cavalier	2021	1.5L L2B SAIC	1G104J7W5MY564358
Chevrolet	Cavalier	2022	1.5L L2B SAIC	LSG23AT97NB443875
Chevrolet	Cavalier	2023	1.5L L2B SAIC	1G1WWRTT2P3242843
Chevrolet	Cavalier	2024	1.5L L2B SAIC	2G1PSMW81RX158514
Chevrolet	Cavalier	2025	1.5L L2B SAIC	1G13BEH20S2634970
Chevrolet	Cavalier	2026	1.5L L2B SAIC	LSGDWB590T7420781
Chevrolet	Colorado	2018	2.8D Duramax LWH	1GCKWK543J2887548
Chevrolet	Colorado	2019	2.8D Duramax LWH	3G13C6ZA0KW475972
Chevrolet	Colorado	2020	2.8D Duramax LWH	LSGUXKNN0L9141068
Chevrolet	Colorado	2021	2.8D Duramax LWH	1G1WW336XM9779492
Chevrolet	Colorado	2022	2.8D Duramax LWH	1G1X6ZK70NJ838342
Chevrolet	Colorado	2023	2.8D Duramax LWH	LSG93TZZ8P8909024
Chevrolet	Colorado	2024	2.8D Duramax LWH	KL15PAK77RX044378
Chevrolet	Colorado	2025	2.8D Duramax LWH	LSGNUMW84S4900804
Chevrolet	Colorado	2026	2.8D Duramax LWH	1GC4N1RLXT9965468
Chevrolet	Corsa	1994	1.0L / 1.6L	LSG93MCM9RG445821
Chevrolet	Corsa	1995	1.0L / 1.6L	KL1TL1ATXSN536700
Chevrolet	Corsa	1996	1.0L / 1.6L	1GC2D0LB8TF959450
Chevrolet	Corsa	1997	1.0L / 1.6L	KL1UNP65XVF208123
Chevrolet	Corsa	1998	1.4L C14NZ / 1.6L C16SE	3G1SRG726W2761902
Chevrolet	Corsa	1999	1.4L C14NZ / 1.6L C16SE	1G15KJLD1XS632646
Chevrolet	Corsa	2000	1.4L C14NZ / 1.6L C16SE	1GC8PSVB3Y8289294
Chevrolet	Corsa	2001	1.4L C14NZ / 1.6L C16SE	MAJM9EL5310000108
Chevrolet	Corsa	2002	1.4L C14NZ / 1.6L C16SE	KL1229K3X27140119
Chevrolet	Corsa	2003	1.4L C14NZ / 1.6L C16SE	LSG6AAMD23Y846666
Chevrolet	Corsa	2004	1.4L C14NZ / 1.6L C16SE	1GCM5CPG04B190819
Chevrolet	Corsa	2005	1.4L C14NZ / 1.6L C16SE	3G12THAY95G573803
Chevrolet	Corsa	2006	1.4L C14NZ / 1.6L C16SE	2G1JD1DT56L302073
Chevrolet	Corsa	2007	1.4L C14NZ / 1.6L C16SE	3G10H02H67E185919
Chevrolet	Corsa	2008	1.4L C14NZ / 1.6L C16SE	3G1GGH8128C617090
Chevrolet	Corsa	2009	1.4L C14NZ / 1.6L C16SE	MAJN3YKR891525392
Chevrolet	Corsa	2010	1.4L C14NZ / 1.6L C16SE	LSG6XKJ20AY290569
Chevrolet	Corsa	2011	1.4L C14NZ / 1.6L C16SE	MAJVT9HR6BS278449
Chevrolet	Cruze	2010	1.8L F18D4 / 1.4T LUJ	LSGHX83N2AU767481
Chevrolet	Cruze	2011	1.8L F18D4 / 1.4T LUJ	LSGACL1R4BD220378
Chevrolet	Cruze	2012	1.8L F18D4 / 1.4T LUJ	1G1S2GDG9CA707656
Chevrolet	Cruze	2013	1.8L F18D4 / 1.4T LUJ	1GC3J5YL1D3420960
Chevrolet	Cruze	2014	1.8L F18D4 / 1.4T LUJ	MAJANVM64EN122961
Chevrolet	Cruze	2015	1.8L F18D4 / 1.4T LUJ	1GCGHJFG5FE291897
Chevrolet	Cruze	2016	1.8L F18D4 / 1.4T LUJ	1G1CMKUM4GK030927
Chevrolet	Cruze	2017	1.8L F18D4 / 1.4T LUJ	3G1NH6PB7HN088257
Chevrolet	Cruze	2018	1.8L F18D4 / 1.4T LUJ	LSG8D8PA6J7984076
Chevrolet	Cruze	2019	1.8L F18D4 / 1.4T LUJ	KL1BZ1TG3KJ310788
Chevrolet	Cruze	2020	1.8L F18D4 / 1.4T LUJ	KL1420H49L5381168
Chevrolet	D-Max	2014	2.5D 4JK1-TC / 3.0D 4JJ1-TC	3G1W22496EE404534
Chevrolet	D-Max	2015	2.5D 4JK1-TC / 3.0D 4JJ1-TC	1G108BEN2F5449855
Chevrolet	D-Max	2016	2.5D 4JK1-TC / 3.0D 4JJ1-TC	1G1K9C4D0G9639829
Chevrolet	D-Max	2017	2.5D 4JK1-TC / 3.0D 4JJ1-TC	3G1EDUGD7H4998305
Chevrolet	D-Max	2018	2.5D 4JK1-TC / 3.0D 4JJ1-TC	3G109A5R9J1011901
Chevrolet	D-Max	2019	2.5D 4JK1-TC / 3.0D 4JJ1-TC	3G1XVU972K1074425
Chevrolet	D-Max	2020	2.5D 4JK1-TC / 3.0D 4JJ1-TC	LSG4PLEC7LX415012
Chevrolet	D-Max	2021	2.5D 4JK1-TC / 3.0D 4JJ1-TC	LSG54V4Z7M9201609
Chevrolet	D-Max	2022	2.5D 4JK1-TC / 3.0D 4JJ1-TC	1GCM9TC53NL970589
Chevrolet	D-Max	2023	2.5D 4JK1-TC / 3.0D 4JJ1-TC	MAJ6SG8U9PM393638
Chevrolet	D-Max	2024	2.5D 4JK1-TC / 3.0D 4JJ1-TC	KL18RRWG7RU239754
Chevrolet	D-Max	2025	2.5D 4JK1-TC / 3.0D 4JJ1-TC	2G13PDKT5SG071828
Chevrolet	D-Max	2026	2.5D 4JK1-TC / 3.0D 4JJ1-TC	MAJ6C5WS5TY883127
Chevrolet	Groove	2020	1.5L LJ4A15M2	MAJ1KJSJ9LX898397
Chevrolet	Groove	2021	1.5L LJ4A15M2	3G1SLGTT1ML717555
Chevrolet	Groove	2022	1.5L LJ4A15M2	1G1HT4M86N7835920
Chevrolet	Groove	2023	1.5L LJ4A15M2	KL1E3E1L4PN522315
Chevrolet	Groove	2024	1.5L LJ4A15M2	1G13515J8RU224265
Chevrolet	Groove	2025	1.5L LJ4A15M2	1GCFKE4X5SM350325
Chevrolet	Groove	2026	1.5L LJ4A15M2	LSGVFN165T6102887
Chevrolet	LUV	1990	2.3L	MAJ38N45XLE336132
Chevrolet	LUV	1991	2.3L	2G13RGRU1MS151332
Chevrolet	LUV	1992	2.3L	LSGWM7NE2NT598873
Chevrolet	LUV	1993	2.3L	KL1ZMT3D2P5838403
Chevrolet	LUV	1994	2.3L	1GC3VDM33RS817717
Chevrolet	LUV	1995	2.3L	3G1SY6346SB557003
Chevrolet	LUV	1996	2.3L	MAJZE46K2TX565666
Chevrolet	LUV	1997	2.3L	3G1W2915XVW203448
Chevrolet	LUV	1998	2.3L	3G1KEXUW4WR637248
Chevrolet	LUV	1999	2.3L	3G1YHKYL3XZ586377
Chevrolet	LUV	2000	2.3L	1G1VW4P12Y8883292
Chevrolet	LUV	2001	2.3L	1G1HXCL521K079225
Chevrolet	LUV	2002	2.3L	3G1B6SH912W167986
Chevrolet	LUV	2003	2.3L	1G11C81H43K254598
Chevrolet	LUV	2004	2.3L	1G1AVMVD34P809961
Chevrolet	Montana	2023	1.2T Ecotec	1G1PZ3ZX6PE951475
Chevrolet	Montana	2024	1.2T Ecotec	3G150X975RR244036
Chevrolet	Montana	2025	1.2T Ecotec	3G1CN3HG9SY060569
Chevrolet	Montana	2026	1.2T Ecotec	KL1Y8WMTXTY125507
Chevrolet	N400 Max	2020	1.2L LJ4A12KQ / 1.5L	1GCHDP886L4154073
Chevrolet	N400 Max	2021	1.2L LJ4A12KQ / 1.5L	1GCHRLBL1M1404295
Chevrolet	N400 Max	2022	1.2L LJ4A12KQ / 1.5L	MAJMPYPG8N8119637
Chevrolet	N400 Max	2023	1.2L LJ4A12KQ / 1.5L	KL1ST0WF1P8692803
Chevrolet	N400 Max	2024	1.2L LJ4A12KQ / 1.5L	3G1VSA849RU968131
Chevrolet	N400 Max	2025	1.2L LJ4A12KQ / 1.5L	LSGH7KFK1SF725954
Chevrolet	N400 Max	2026	1.2L LJ4A12KQ / 1.5L	3G1AZF6KXTT673691
